RouteID,StopID,ActualTime,ScheduledTime,Delay
357,33,2015-01-12 07:37:29,07:36:00,89
357,6,2015-01-12 07:43:25,07:40:00,205
357,33,2015-01-12 07:48:40,08:01:00,-740
357,6,2015-01-12 07:53:16,08:05:00,-704
357,88,2015-01-12 07:54:37,07:49:00,337
357,88,2015-01-12 08:00:50,07:49:00,710
357,33,2015-01-12 08:06:25,08:01:00,325
357,6,2015-01-12 08:10:15,08:05:00,315
357,33,2015-01-12 08:18:22,08:17:00,82
357,88,2015-01-12 08:19:37,08:14:00,337
357,6,2015-01-12 08:21:40,08:21:00,40
357,88,2015-01-12 08:30:24,08:30:00,24
357,33,2015-01-12 08:35:25,08:34:00,85
357,6,2015-01-12 08:39:53,08:38:00,113
357,88,2015-01-12 08:50:43,08:47:00,223
357,33,2015-01-12 08:52:22,09:03:00,-638
357,33,2015-01-12 08:55:39,09:03:00,-441
357,6,2015-01-12 08:57:04,09:07:00,-596
357,6,2015-01-12 08:59:47,09:07:00,-433
357,33,2015-01-12 09:06:46,09:03:00,226
357,88,2015-01-12 09:08:02,09:16:00,-478
357,88,2015-01-12 09:09:06,09:16:00,-414
357,6,2015-01-12 09:11:40,09:07:00,280
357,33,2015-01-12 09:21:54,09:18:00,234
357,88,2015-01-12 09:21:56,09:16:00,356
357,6,2015-01-12 09:26:44,09:22:00,284
357,33,2015-01-12 09:30:03,09:40:00,-597
357,6,2015-01-12 09:32:45,09:44:00,-675
357,88,2015-01-12 09:36:15,09:31:00,315
357,88,2015-01-12 09:41:07,09:53:00,-713
357,33,2015-01-12 09:41:54,09:40:00,114
357,6,2015-01-12 09:46:36,09:44:00,156
357,33,2015-01-12 09:52:20,09:40:00,740
357,6,2015-01-12 09:56:36,09:44:00,756
357,88,2015-01-12 09:56:39,09:53:00,219
357,33,2015-01-12 09:58:32,10:10:00,-688
357,6,2015-01-12 10:02:13,10:14:00,-707
357,33,2015-01-12 10:03:03,10:10:00,-417
357,88,2015-01-12 10:05:48,09:53:00,768
357,6,2015-01-12 10:06:39,10:14:00,-441
357,33,2015-01-12 10:08:58,10:10:00,-62
357,88,2015-01-12 10:11:38,10:23:00,-682
357,6,2015-01-12 10:12:02,10:14:00,-118
357,88,2015-01-12 10:14:11,10:23:00,-529
357,33,2015-01-12 10:20:14,10:10:00,614
357,88,2015-01-12 10:21:56,10:23:00,-64
357,6,2015-01-12 10:23:38,10:14:00,578
357,88,2015-01-12 10:32:34,10:23:00,574
357,33,2015-01-12 10:35:06,10:32:00,186
357,6,2015-01-12 10:39:02,10:36:00,182
357,33,2015-01-12 10:43:27,10:51:00,-453
357,6,2015-01-12 10:46:33,10:55:00,-507
357,88,2015-01-12 10:48:26,10:45:00,206
357,33,2015-01-12 10:53:16,10:51:00,136
357,88,2015-01-12 10:54:27,11:04:00,-573
357,6,2015-01-12 11:00:08,10:55:00,308
357,33,2015-01-12 11:02:42,10:51:00,702
357,6,2015-01-12 11:09:07,10:55:00,847
357,33,2015-01-12 11:09:20,11:08:00,80
357,88,2015-01-12 11:13:15,11:04:00,555
357,33,2015-01-12 11:14:21,11:26:00,-699
357,6,2015-01-12 11:16:24,11:30:00,-816
357,88,2015-01-12 11:18:10,11:04:00,850
357,6,2015-01-12 11:19:33,11:30:00,-627
357,88,2015-01-12 11:26:18,11:39:00,-762
357,33,2015-01-12 11:26:53,11:26:00,53
