RouteID,StopID,ActualTime,ScheduledTime,Delay
361,51,2015-01-12 07:35:07,07:44:00,-533
361,45,2015-01-12 07:39:27,07:46:00,-393
361,6,2015-01-12 07:41:13,07:49:00,-467
361,12,2015-01-12 07:49:03,07:53:00,-237
361,51,2015-01-12 07:49:55,07:44:00,355
361,45,2015-01-12 07:52:13,07:46:00,373
361,1,2015-01-12 07:52:43,07:57:00,-257
361,6,2015-01-12 07:55:25,07:49:00,385
361,12,2015-01-12 08:00:59,07:53:00,479
361,1,2015-01-12 08:04:05,07:57:00,425
361,51,2015-01-12 08:08:31,08:14:00,-329
361,45,2015-01-12 08:10:29,08:16:00,-331
361,6,2015-01-12 08:12:35,08:19:00,-385
361,12,2015-01-12 08:17:17,08:23:00,-343
361,1,2015-01-12 08:20:01,08:27:00,-419
361,51,2015-01-12 08:29:51,08:44:00,-849
361,45,2015-01-12 08:32:17,08:46:00,-823
361,6,2015-01-12 08:35:07,08:49:00,-833
361,12,2015-01-12 08:40:33,08:53:00,-747
361,1,2015-01-12 08:45:25,08:57:00,-695
361,51,2015-01-12 08:50:09,08:44:00,369
361,45,2015-01-12 08:52:53,08:46:00,413
361,6,2015-01-12 08:56:37,08:49:00,457
361,12,2015-01-12 09:04:09,08:53:00,669
361,1,2015-01-12 09:08:09,08:57:00,669
361,51,2015-01-12 09:10:33,09:14:00,-207
361,45,2015-01-12 09:13:11,09:16:00,-169
361,6,2015-01-12 09:16:07,09:19:00,-173
361,12,2015-01-12 09:21:35,09:23:00,-85
361,1,2015-01-12 09:25:05,09:27:00,-115
361,51,2015-01-12 09:29:01,09:44:00,-899
361,45,2015-01-12 09:31:11,09:46:00,-889
361,6,2015-01-12 09:34:31,09:49:00,-869
361,12,2015-01-12 09:39:51,09:53:00,-789
361,1,2015-01-12 09:43:59,09:57:00,-781
361,51,2015-01-12 09:49:33,09:44:00,333
361,45,2015-01-12 09:52:55,09:46:00,415
361,6,2015-01-12 09:57:11,09:49:00,491
361,12,2015-01-12 10:05:11,09:53:00,731
361,1,2015-01-12 10:08:41,09:57:00,701
361,51,2015-01-12 10:08:57,10:14:00,-303
361,45,2015-01-12 10:10:33,10:16:00,-327
361,6,2015-01-12 10:12:51,10:19:00,-369
361,12,2015-01-12 10:17:45,10:23:00,-315
361,1,2015-01-12 10:21:55,10:27:00,-305
361,51,2015-01-12 10:29:27,10:44:00,-873
361,45,2015-01-12 10:31:39,10:46:00,-861
361,6,2015-01-12 10:35:21,10:49:00,-819
361,12,2015-01-12 10:40:55,10:53:00,-725
361,1,2015-01-12 10:45:21,10:57:00,-699
361,51,2015-01-12 10:49:02,10:44:00,302
361,45,2015-01-12 10:52:04,10:46:00,364
361,6,2015-01-12 10:55:36,10:49:00,396
361,12,2015-01-12 11:03:44,10:53:00,644
361,51,2015-01-12 11:08:51,11:14:00,-309
361,45,2015-01-12 11:11:05,11:16:00,-295
361,1,2015-01-12 11:12:25,11:27:00,-875
361,6,2015-01-12 11:13:55,11:19:00,-305
361,12,2015-01-12 11:20:45,11:23:00,-135
361,1,2015-01-12 11:25:51,11:27:00,-69
361,51,2015-01-12 11:28:42,11:14:00,882
361,45,2015-01-12 11:30:30,11:16:00,870
361,6,2015-01-12 11:33:36,11:19:00,876
361,12,2015-01-12 11:39:02,11:38:00,62
361,1,2015-01-12 11:43:00,11:42:00,60
361,51,2015-01-12 11:49:41,12:04:00,-859
361,45,2015-01-12 11:51:47,12:06:00,-853
361,6,2015-01-12 11:55:27,12:09:00,-813
361,12,2015-01-12 12:00:41,12:13:00,-739
361,1,2015-01-12 12:05:01,12:17:00,-719
361,51,2015-01-12 12:08:58,12:04:00,298
361,45,2015-01-12 12:10:54,12:06:00,294
361,6,2015-01-12 12:14:14,12:09:00,314
361,12,2015-01-12 12:22:04,12:13:00,544
361,1,2015-01-12 12:27:10,12:17:00,610
361,51,2015-01-12 12:28:59,12:29:00,-1
361,45,2015-01-12 12:31:25,12:31:00,25
361,6,2015-01-12 12:35:04,12:34:00,64
361,12,2015-01-12 12:41:45,12:38:00,225
361,51,2015-01-12 12:43:17,12:29:00,857
361,45,2015-01-12 12:45:25,12:31:00,865
361,6,2015-01-12 12:47:43,12:34:00,823
361,1,2015-01-12 12:48:13,12:42:00,373
361,12,2015-01-12 12:52:41,12:38:00,881
361,1,2015-01-12 12:56:50,12:42:00,890
361,51,2015-01-12 12:59:00,13:04:00,-300
361,45,2015-01-12 13:00:34,13:06:00,-326
361,6,2015-01-12 13:05:00,13:09:00,-240
361,51,2015-01-12 13:09:35,13:04:00,335
361,12,2015-01-12 13:10:44,13:13:00,-136
361,45,2015-01-12 13:11:51,13:06:00,351
361,6,2015-01-12 13:14:29,13:09:00,329
361,1,2015-01-12 13:16:06,13:17:00,-54
361,12,2015-01-12 13:21:07,13:13:00,487
361,51,2015-01-12 13:24:03,13:39:00,-897
361,45,2015-01-12 13:25:51,13:11:00,891
361,1,2015-01-12 13:25:53,13:17:00,533
361,6,2015-01-12 13:28:37,13:14:00,877
361,12,2015-01-12 13:33:27,13:48:00,-873
361,1,2015-01-12 13:37:27,13:52:00,-873
361,51,2015-01-12 13:38:40,13:39:00,-20
361,45,2015-01-12 13:40:36,13:41:00,-24
361,6,2015-01-12 13:43:48,13:44:00,-12
361,12,2015-01-12 13:47:54,13:48:00,-6
361,51,2015-01-12 13:49:53,14:04:00,-847
361,1,2015-01-12 13:51:32,13:52:00,-28
361,45,2015-01-12 13:51:53,14:06:00,-847
361,6,2015-01-12 13:55:31,14:09:00,-809
361,12,2015-01-12 14:00:33,14:13:00,-747
361,51,2015-01-12 14:03:53,14:04:00,-7
361,1,2015-01-12 14:04:35,14:17:00,-745
361,45,2015-01-12 14:06:47,14:06:00,47
361,6,2015-01-12 14:13:49,14:09:00,289
361,51,2015-01-12 14:18:36,14:04:00,876
361,45,2015-01-12 14:20:58,14:06:00,898
361,12,2015-01-12 14:21:16,14:13:00,496
361,6,2015-01-12 14:25:10,14:24:00,70
361,51,2015-01-12 14:28:49,14:19:00,589
361,1,2015-01-12 14:28:52,14:17:00,712
361,45,2015-01-12 14:31:03,14:21:00,603
361,12,2015-01-12 14:33:04,14:28:00,304
361,6,2015-01-12 14:33:51,14:24:00,591
361,1,2015-01-12 14:37:58,14:32:00,358
361,12,2015-01-12 14:40:09,14:28:00,729
361,1,2015-01-12 14:44:01,14:32:00,721
361,51,2015-01-12 14:44:17,14:59:00,-883
361,45,2015-01-12 14:45:51,14:31:00,891
361,6,2015-01-12 14:47:39,14:34:00,819
361,12,2015-01-12 14:52:25,14:38:00,865
361,1,2015-01-12 14:55:24,14:42:00,804
361,51,2015-01-12 14:58:04,15:04:00,-356
361,45,2015-01-12 14:59:38,15:06:00,-382
361,6,2015-01-12 15:01:54,15:09:00,-426
361,12,2015-01-12 15:06:32,15:13:00,-388
361,51,2015-01-12 15:08:31,15:04:00,271
361,1,2015-01-12 15:10:00,15:17:00,-420
361,45,2015-01-12 15:10:21,15:06:00,261
361,6,2015-01-12 15:13:23,15:09:00,263
361,12,2015-01-12 15:18:27,15:13:00,327
361,51,2015-01-12 15:23:38,15:34:00,-622
361,1,2015-01-12 15:23:41,15:17:00,401
361,45,2015-01-12 15:25:22,15:36:00,-638
361,6,2015-01-12 15:30:32,15:39:00,-508
361,51,2015-01-12 15:33:02,15:34:00,-58
361,45,2015-01-12 15:34:56,15:36:00,-64
